"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Mar 09 16:25:50 GMT 2024","Sat Mar 09 16:25:50 GMT 2024","301","tests","test_user_controller","TestUser","","","Create new user",""
"passed","Sat Mar 09 16:25:36 GMT 2024","Sat Mar 09 16:25:37 GMT 2024","436","tests","test_comment_controller","TestComment","","","Get list of comments for specific post",""
"passed","Sat Mar 09 16:25:39 GMT 2024","Sat Mar 09 16:25:40 GMT 2024","666","tests","test_post_controller","TestPost","","","Create new post",""
"passed","Sat Mar 09 16:25:45 GMT 2024","Sat Mar 09 16:25:46 GMT 2024","299","tests","test_post_controller","TestPost","","","Delete post by id",""
"passed","Sat Mar 09 16:25:48 GMT 2024","Sat Mar 09 16:25:48 GMT 2024","302","tests","test_post_controller","TestPost","","","Get list of posts for specific tag",""
"passed","Sat Mar 09 16:25:50 GMT 2024","Sat Mar 09 16:25:50 GMT 2024","176","tests","test_user_controller","TestUser","","","Request without authorization",""
"passed","Sat Mar 09 16:25:40 GMT 2024","Sat Mar 09 16:25:43 GMT 2024","3173","tests","test_post_controller","TestPost","","","Create new post",""
"passed","Sat Mar 09 16:25:46 GMT 2024","Sat Mar 09 16:25:46 GMT 2024","224","tests","test_post_controller","TestPost","","","Get post full data by post id",""
"passed","Sat Mar 09 16:25:51 GMT 2024","Sat Mar 09 16:25:51 GMT 2024","213","tests","test_user_controller","TestUser","","","Update user by id",""
"passed","Sat Mar 09 16:25:52 GMT 2024","Sat Mar 09 16:25:52 GMT 2024","265","tests","test_user_controller","TestUser","","","Get user full data by user id",""
"broken","Sat Mar 09 16:25:49 GMT 2024","Sat Mar 09 16:25:50 GMT 2024","861","tests","test_tags_controller","TestTags","","","Get list of tags",""
"passed","Sat Mar 09 16:25:27 GMT 2024","Sat Mar 09 16:25:28 GMT 2024","1111","tests","test_comment_controller","TestComment","","","Create new comment",""
"passed","Sat Mar 09 16:25:38 GMT 2024","Sat Mar 09 16:25:38 GMT 2024","356","tests","test_post_controller","TestPost","","","Create new post",""
"passed","Sat Mar 09 16:25:29 GMT 2024","Sat Mar 09 16:25:32 GMT 2024","2908","tests","test_comment_controller","TestComment","","","Create new comment",""
"passed","Sat Mar 09 16:25:33 GMT 2024","Sat Mar 09 16:25:34 GMT 2024","150","tests","test_comment_controller","TestComment","","","Delete comment by id",""
"passed","Sat Mar 09 16:25:47 GMT 2024","Sat Mar 09 16:25:47 GMT 2024","255","tests","test_post_controller","TestPost","","","Get list of posts for specific user",""
"passed","Sat Mar 09 16:25:53 GMT 2024","Sat Mar 09 16:25:53 GMT 2024","419","tests","test_user_controller","TestUser","","","Delete user by id",""
"passed","Sat Mar 09 16:25:35 GMT 2024","Sat Mar 09 16:25:35 GMT 2024","270","tests","test_comment_controller","TestComment","","","Get list of comments for specific user",""
"passed","Sat Mar 09 16:25:22 GMT 2024","Sat Mar 09 16:25:24 GMT 2024","1721","tests","test_comment_controller","TestComment","","","Get list of comments",""
"passed","Sat Mar 09 16:25:50 GMT 2024","Sat Mar 09 16:25:50 GMT 2024","220","tests","test_user_controller","TestUser","","","Get list of users",""
"passed","Sat Mar 09 16:25:44 GMT 2024","Sat Mar 09 16:25:44 GMT 2024","327","tests","test_post_controller","TestPost","","","Update post by id",""
"failed","Sat Mar 09 16:25:51 GMT 2024","Sat Mar 09 16:25:52 GMT 2024","146","tests","test_user_controller","TestUser","","","Update user email by id",""
"passed","Sat Mar 09 16:25:25 GMT 2024","Sat Mar 09 16:25:26 GMT 2024","1053","tests","test_comment_controller","TestComment","","","Create new comment",""
"passed","Sat Mar 09 16:25:37 GMT 2024","Sat Mar 09 16:25:38 GMT 2024","714","tests","test_post_controller","TestPost","","","Get list of posts",""
